Entity,Code,Year,Homosexual activity (historical)
Argentina,ARG,2021,Legal
Argentina,ARG,2022,Legal
Argentina,ARG,2023,Legal
Argentina,ARG,2024,Legal
Armenia,ARM,2003,Legal
Armenia,ARM,2004,Legal
Armenia,ARM,2005,Legal
Armenia,ARM,2006,Legal
Armenia,ARM,2007,Legal
Armenia,ARM,2008,Legal
Armenia,ARM,2009,Legal
Armenia,ARM,2010,Legal
Armenia,ARM,2011,Legal
Armenia,ARM,2012,Legal
Armenia,ARM,2013,Legal
Armenia,ARM,2014,Legal
Armenia,ARM,2015,Legal
Armenia,ARM,2016,Legal
Armenia,ARM,2017,Legal
Armenia,ARM,2018,Legal
Armenia,ARM,2019,Legal
Armenia,ARM,2020,Legal
Armenia,ARM,2021,Legal
Armenia,ARM,2022,Legal
Armenia,ARM,2023,Legal
Armenia,ARM,2024,Legal
Australia,AUS,1994,Varies by region
Australia,AUS,1995,Varies by region
Australia,AUS,1996,Varies by region
Australia,AUS,1997,Legal
Australia,AUS,1998,Legal
Australia,AUS,1999,Legal
Australia,AUS,2000,Legal
Australia,AUS,2001,Legal
Australia,AUS,2002,Legal
Australia,AUS,2003,Legal
Australia,AUS,2004,Legal
Australia,AUS,2005,Legal
Australia,AUS,2006,Legal
Australia,AUS,2007,Legal
Australia,AUS,2008,Legal
Australia,AUS,2009,Legal
Australia,AUS,2010,Legal
Australia,AUS,2011,Legal
Australia,AUS,2012,Legal
Australia,AUS,2013,Legal
Australia,AUS,2014,Legal
Australia,AUS,2015,Legal
Australia,AUS,2016,Legal
Australia,AUS,2017,Legal
Australia,AUS,2018,Legal
Australia,AUS,2019,Legal
Australia,AUS,2020,Legal
Australia,AUS,2021,Legal
Australia,AUS,2022,Legal
Australia,AUS,2023,Legal
Australia,AUS,2024,Legal
Austria,AUT,1971,Legal
Austria,AUT,1972,Legal
Austria,AUT,1973,Legal
Austria,AUT,1974,Legal
Austria,AUT,1975,Legal
Austria,AUT,1976,Legal
Austria,AUT,1977,Legal
Austria,AUT,1978,Legal
Austria,AUT,1979,Legal
Austria,AUT,1980,Legal
Austria,AUT,1981,Legal
Austria,AUT,1982,Legal
Austria,AUT,1983,Legal
Austria,AUT,1984,Legal
Austria,AUT,1985,Legal
Austria,AUT,1986,Legal
Austria,AUT,1987,Legal
Austria,AUT,1988,Legal
Austria,AUT,1989,Legal
Austria,AUT,1990,Legal
Austria,AUT,1991,Legal
Austria,AUT,1992,Legal
Austria,AUT,1993,Legal
Austria,AUT,1994,Legal
Austria,AUT,1995,Legal
Austria,AUT,1996,Legal
Austria,AUT,1997,Legal
Austria,AUT,1998,Legal
Austria,AUT,1999,Legal
Austria,AUT,2000,Legal
Austria,AUT,2001,Legal
Austria,AUT,2002,Legal
Austria,AUT,2003,Legal
Austria,AUT,2004,Legal
Austria,AUT,2005,Legal
Austria,AUT,2006,Legal
Austria,AUT,2007,Legal
Austria,AUT,2008,Legal
Austria,AUT,2009,Legal
Austria,AUT,2010,Legal
Austria,AUT,2011,Legal
Austria,AUT,2012,Legal
Austria,AUT,2013,Legal
Austria,AUT,2014,Legal
Austria,AUT,2015,Legal
Austria,AUT,2016,Legal
Austria,AUT,2017,Legal
Austria,AUT,2018,Legal
Austria,AUT,2019,Legal
Austria,AUT,2020,Legal
Austria,AUT,2021,Legal
Austria,AUT,2022,Legal
Austria,AUT,2023,Legal
Austria,AUT,2024,Legal
Azerbaijan,AZE,2000,Legal
Azerbaijan,AZE,2001,Legal
Azerbaijan,AZE,2002,Legal
Azerbaijan,AZE,2003,Legal
Azerbaijan,AZE,2004,Legal
Azerbaijan,AZE,2005,Legal
Azerbaijan,AZE,2006,Legal
Azerbaijan,AZE,2007,Legal
Azerbaijan,AZE,2008,Legal
Azerbaijan,AZE,2009,Legal
Azerbaijan,AZE,2010,Legal
Azerbaijan,AZE,2011,Legal
Azerbaijan,AZE,2012,Legal
Azerbaijan,AZE,2013,Legal
Azerbaijan,AZE,2014,Legal
Azerbaijan,AZE,2015,Legal
Azerbaijan,AZE,2016,Legal
Azerbaijan,AZE,2017,Legal
Azerbaijan,AZE,2018,Legal
Azerbaijan,AZE,2019,Legal
Azerbaijan,AZE,2020,Legal
Azerbaijan,AZE,2021,Legal
Azerbaijan,AZE,2022,Legal
Azerbaijan,AZE,2023,Legal
Azerbaijan,AZE,2024,Legal
Bahamas,BHS,1991,Legal
Bahamas,BHS,1992,Legal
Bahamas,BHS,1993,Legal
Bahamas,BHS,1994,Legal
Bahamas,BHS,1995,Legal
Bahamas,BHS,1996,Legal
Bahamas,BHS,1997,Legal
Bahamas,BHS,1998,Legal
Bahamas,BHS,1999,Legal
Bahamas,BHS,2000,Legal
Bahamas,BHS,2001,Legal
Bahamas,BHS,2002,Legal
Bahamas,BHS,2003,Legal
Bahamas,BHS,2004,Legal
Bahamas,BHS,2005,Legal
Bahamas,BHS,2006,Legal
Bahamas,BHS,2007,Legal
Bahamas,BHS,2008,Legal
Bahamas,BHS,2009,Legal
Bahamas,BHS,2010,Legal
Bahamas,BHS,2011,Legal
Bahamas,BHS,2012,Legal
Bahamas,BHS,2013,Legal
Bahamas,BHS,2014,Legal
Bahamas,BHS,2015,Legal
Bahamas,BHS,2016,Legal
Bahamas,BHS,2017,Legal
Bahamas,BHS,2018,Legal
Bahamas,BHS,2019,Legal
Bahamas,BHS,2020,Legal
Bahamas,BHS,2021,Legal
Bahamas,BHS,2022,Legal
Bahamas,BHS,2023,Legal
Bahamas,BHS,2024,Legal
Bahrain,BHR,1976,Legal
Bahrain,BHR,1977,Legal
Bahrain,BHR,1978,Legal
Bahrain,BHR,1979,Legal
Bahrain,BHR,1980,Legal
Bahrain,BHR,1981,Legal
Bahrain,BHR,1982,Legal
Bahrain,BHR,1983,Legal
Bahrain,BHR,1984,Legal
Bahrain,BHR,1985,Legal
Bahrain,BHR,1986,Legal
Bahrain,BHR,1987,Legal
Bahrain,BHR,1988,Legal
Bahrain,BHR,1989,Legal
Bahrain,BHR,1990,Legal
Bahrain,BHR,1991,Legal
Bahrain,BHR,1992,Legal
Bahrain,BHR,1993,Legal
Bahrain,BHR,1994,Legal
Bahrain,BHR,1995,Legal
Bahrain,BHR,1996,Legal
Bahrain,BHR,1997,Legal
Bahrain,BHR,1998,Legal
Bahrain,BHR,1999,Legal
Bahrain,BHR,2000,Legal
Bahrain,BHR,2001,Legal
Bahrain,BHR,2002,Legal
Bahrain,BHR,2003,Legal
Bahrain,BHR,2004,Legal
Bahrain,BHR,2005,Legal
Bahrain,BHR,2006,Legal
Bahrain,BHR,2007,Legal
Bahrain,BHR,2008,Legal
Bahrain,BHR,2009,Legal
Bahrain,BHR,2010,Legal
Bahrain,BHR,2011,Legal
Bahrain,BHR,2012,Legal
Bahrain,BHR,2013,Legal
Bahrain,BHR,2014,Legal
Bahrain,BHR,2015,Legal
Bahrain,BHR,2016,Legal
Bahrain,BHR,2017,Legal
Bahrain,BHR,2018,Legal
Bahrain,BHR,2019,Legal
Bahrain,BHR,2020,Legal
Bahrain,BHR,2021,Legal
Bahrain,BHR,2022,Legal
Bahrain,BHR,2023,Legal
Bahrain,BHR,2024,Legal
Bangladesh,BGD,1950,"Illegal, prison or other penalty"
Bangladesh,BGD,1951,"Illegal, prison or other penalty"
Bangladesh,BGD,1952,"Illegal, prison or other penalty"
Bangladesh,BGD,1953,"Illegal, prison or other penalty"
Bangladesh,BGD,1954,"Illegal, prison or other penalty"
Bangladesh,BGD,1955,"Illegal, prison or other penalty"
Bangladesh,BGD,1956,"Illegal, prison or other penalty"
Bangladesh,BGD,1957,"Illegal, prison or other penalty"
Bangladesh,BGD,1958,"Illegal, prison or other penalty"
Bangladesh,BGD,1959,"Illegal, prison or other penalty"
Bangladesh,BGD,1960,"Illegal, prison or other penalty"
Bangladesh,BGD,1961,"Illegal, prison or other penalty"
Bangladesh,BGD,1962,"Illegal, prison or other penalty"
Bangladesh,BGD,1963,"Illegal, prison or other penalty"
Bangladesh,BGD,1964,"Illegal, prison or other penalty"
Bangladesh,BGD,1965,"Illegal, prison or other penalty"
Bangladesh,BGD,1966,"Illegal, prison or other penalty"
Bangladesh,BGD,1967,"Illegal, prison or other penalty"
Bangladesh,BGD,1968,"Illegal, prison or other penalty"
Bangladesh,BGD,1969,"Illegal, prison or other penalty"
Bangladesh,BGD,1970,"Illegal, prison or other penalty"
Bangladesh,BGD,1971,"Illegal, prison or other penalty"
