,país,índice de igualdad legal,legalidad_colectivo_lgbtiq+,fecha_despenalización,pena_máxima,constitución,protección_amplia,empleo,crimen_odio,incitación,prohibición_terapias,matrimonio_igualitario,uniones_civiles,adopción_conjunta,adopción_segundo_progenitor
163,New Zealand,87.05,Si,1986,Desconocido,No,Si,Si,Si,Limitada,No,Si,Si,Si,Si
164,Nicaragua,48.57,Si,2008,Desconocido,No,No,Si,Si,No,No,No,No,No,No
165,Niger,40.5,Si,0,Desconocido,No,No,No,No,No,No,No,No,No,No
166,Nigeria,2.5,No,0,Varía,No,No,No,No,No,No,No,No,No,No
169,North Korea,38.33,Si,0,Desconocido,No,No,No,No,No,No,No,No,No,No
170,North Macedonia,63.64,Si,1996,Desconocido,No,Si,Si,Si,No,No,No,No,No,No
172,Norway,85.34,Si,1972,Desconocido,No,Si,Si,Si,Si,No,Si,No,Si,Si
174,Oman,11.35,No,0,3 años,No,No,No,No,No,No,No,No,No,No
175,Pakistan,30.24,No,0,Pena de muerte,No,No,No,No,No,No,No,No,No,No
176,Palau,43.16,Si,2014,Desconocido,No,No,No,No,No,No,No,No,No,No
177,Palestine,10.0,Si,1951,Desconocido,No,No,No,No,No,No,No,No,No,No
178,Panama,48.0,Si,2008,Desconocido,No,No,No,No,No,No,No,No,No,No
179,Papua New Guinea,28.93,No,0,7 años,No,No,No,No,No,No,No,No,No,No
180,Paraguay,41.36,Si,1990,Desconocido,No,No,No,No,No,No,No,No,No,No
181,Peru,72.27,Si,1924,Desconocido,No,Si,Si,Si,Si,No,No,No,No,No
182,Philippines,56.41,Si,1870,Desconocido,No,Limitada,Limitada,No,No,No,No,No,No,No
184,Poland,62.27,Si,1932,Desconocido,No,No,Si,No,No,No,No,No,No,No
185,Portugal,91.82,Si,1983,Desconocido,Si,Si,Si,Si,Si,No,Si,Si,Si,Si
187,Qatar,10.24,No,0,Pena de muerte,No,No,No,No,No,No,No,No,No,No
189,Romania,57.73,Si,1996,Desconocido,No,Si,Si,Si,Limitada,No,No,No,No,No
190,Russia,7.44,Si,1993,Desconocido,No,No,No,No,No,No,No,No,No,No
191,Rwanda,45.0,Si,0,Desconocido,No,No,No,No,No,No,No,No,No,No
194,Saint Kitts & Nevis,10.0,No,0,10 años,No,No,No,Limitada,No,No,No,No,No,No
195,Saint Kitts and Nevis,56.67,Unknown,1998,Desconocido,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
196,Saint Lucia,31.88,No,0,10 años,No,No,Si,Limitada,No,No,No,No,No,No
199,Saint Vinc. & the Gren.,20.0,No,0,10 años,No,No,No,Limitada,No,No,No,No,No,No
200,Saint Vincent and the Grenadines,31.89,Unknown,2001,Desconocido,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
201,Samoa,37.97,No,0,7 años,No,No,Si,Si,No,Limitada,No,No,No,No
202,San Marino,63.64,Si,2004,Desconocido,Si,Si,Si,Si,Si,No,No,Si,No,Si
203,Sao Tome & Principe,60.0,Si,2012,Desconocido,No,No,Si,Si,No,No,No,No,No,No
204,Sao Tome and Principe,51.91,Unknown,2012,Desconocido,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
205,Saudi Arabia,6.98,No,0,Pena de muerte,No,No,No,No,No,No,No,No,No,No
206,Senegal,6.15,No,0,5 años,No,No,No,No,No,No,No,No,No,No
207,Serbia,62.27,Si,1994,Desconocido,No,Si,Si,Si,Si,No,No,No,No,No
208,Seychelles,53.33,Si,2016,Desconocido,No,No,Si,No,No,No,No,No,No,No
209,Sierra Leone,24.74,No,0,10 años,No,No,No,No,No,No,No,No,No,No
210,Singapore,53.0,No,0,2 años,No,No,No,No,Limitada,No,No,No,No,No
213,Slovakia,65.38,Si,1962,Desconocido,No,Si,Si,Si,Si,No,No,No,No,No
214,Slovenia,83.64,Si,1977,Desconocido,No,Si,Si,No,Si,No,No,Si,No,Si
215,Solomon Islands,21.54,No,0,14 años,No,No,No,No,No,No,No,No,No,No
216,Somalia,1.11,No,0,Pena de muerte,No,No,No,No,No,No,No,No,No,No
217,South Africa,83.64,Si,1998,Desconocido,Si,Si,Si,No,Si,No,Si,Si,Si,Si
220,South Korea,48.33,Si,0,Desconocido,No,Limitada,Limitada,No,No,No,No,No,No,No
221,South Sudan,17.07,No,0,10 años,No,No,No,No,No,No,No,No,No,No
222,Spain,93.18,Si,1979,Desconocido,No,Si,Si,Si,Si,Limitada,Si,Si,Si,Si
223,Sri Lanka,23.9,No,0,10 años,No,No,No,No,No,No,No,No,No,No
225,Sudan,6.75,No,0,Cadena perpetua,No,No,No,No,No,No,No,No,No,No
226,Suriname,50.91,Si,1869,Desconocido,No,Si,Si,No,Si,No,No,No,No,No
227,Sweden,80.46,Si,1944,Desconocido,Si,Si,Si,Si,Si,No,Si,No,Si,Si
228,Switzerland,75.35,Si,1942,Desconocido,No,Limitada,Si,No,Si,No,No,Si,No,Si
229,Syria,17.56,No,0,3 años,No,No,No,No,No,No,No,No,No,No
230,Taiwan,80.68,Unknown,1997,Desconocido,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
232,Tajikistan,40.0,Si,1998,Desconocido,No,No,No,No,No,No,No,No,No,No
233,Tanzania,8.05,No,0,Cadena perpetua,No,No,No,No,Limitada,No,No,No,No,No
234,Thailand,56.82,Si,1957,Desconocido,No,No,Si,No,No,No,No,No,No,No
235,Togo,16.41,No,0,3 años,No,No,No,No,No,No,No,No,No,No
237,Tonga,28.95,No,0,10 años,No,No,No,No,No,No,No,No,No,No
238,Trinidad and Tobago,48.33,Si,2018,Desconocido,No,No,No,No,No,No,No,No,No,No
239,Tunisia,16.92,No,0,3 años,No,No,No,No,No,No,No,No,No,No
240,Turkey,42.73,Si,1858,Desconocido,No,No,No,No,No,No,No,No,No,No
241,Turkmenistan,29.58,No,0,2 años,No,No,No,No,No,No,No,No,No,No
243,Tuvalu,22.7,No,0,14 años,No,No,Si,No,No,No,No,No,No,No
245,Uganda,2.78,No,0,Cadena perpetua,No,No,No,No,No,No,No,No,No,No
246,Ukraine,59.55,Si,1991,Desconocido,No,No,Si,No,No,No,No,No,No,No
247,United Arab Emirates,4.88,No,0,Pena de muerte,No,No,No,No,No,No,No,No,No,No
248,United Kingdom,80.46,Si,1982,Desconocido,No,Si,Si,Si,Si,No,Si,Si,Si,Si
249,United States,86.34,Si,2003,Desconocido,No,Limitada,Si,Si,No,Limitada,Si,Limitada,Si,Si
250,Uruguay,93.18,Si,1934,Desconocido,No,Si,Si,Si,Si,Limitada,Si,Si,Si,Si
251,Uzbekistan,20.83,No,0,3 años,No,No,No,No,No,No,No,No,No,No
252,Vanuatu,60.53,Si,0,Desconocido,No,No,Limitada,No,No,No,No,No,No,No
253,Vatican City,0.0,Si,1890,Desconocido,No,No,No,No,No,No,No,No,No,No
254,Venezuela,51.82,Si,1836,Desconocido,No,No,Si,No,No,No,No,No,No,No
255,Vietnam,58.18,Si,0,Desconocido,No,No,No,No,No,No,No,No,No,No
258,Yemen,0.0,No,0,Pena de muerte,No,No,No,No,No,No,No,No,No,No
259,Zambia,17.65,No,0,Cadena perpetua,No,No,No,No,No,No,No,No,No,No
260,Zimbabwe,33.03,No,0,1 años,No,No,No,No,No,No,No,No,No,No
